都道府県,自転車盗URL（代表）,備考,ステータス
兵庫県,https://web.pref.hyogo.lg.jp/kk26/johoseisaku/documents/hyogo_2024zitensyatou.csv,buhinneraiのみURLにtypo（hyogp）,実装済
奈良県,https://www.police.pref.nara.jp/cmsfiles/contents/0000007/7168/nara_2024zitensyatou.csv,標準形式,URL確認済
和歌山県,https://www.police.pref.wakayama.lg.jp/04_toukei/hanzai/documents/r6/wakayama_2024zitensyatou.csv,標準形式,URL確認済
鳥取県,https://www.pref.tottori.lg.jp/286309.htm,ページURL（個別CSV未確認）,調査中
島根県,https://shimane-opendata.jp/datasets/1055,ポータル経由（個別URL未確認）,調査中
岡山県,https://www.okayama-opendata.jp/datasets?tag=防犯,ポータル経由（個別URL未確認）,調査中
広島県,https://hiroshima-opendata.dataeye.jp/datasets?group=gr_0200,ポータル経由（個別URL未確認）,調査中
山口県,https://yamaguchi-opendata.jp/,ポータル経由（個別URL未確認）,調査中
徳島県,https://www.police.pref.tokushima.jp/file/excel/28opendata/tokushima_2024zitensyatou.csv,標準形式,URL確認済
香川県,https://opendata.pref.kagawa.lg.jp/dataset/bunya/bosai/,ポータル経由（個別URL未確認）,調査中
愛媛県,https://www.police.pref.ehime.jp/seiki/mokuji/fusegou.html,ページURL（個別CSV未確認）,調査中
高知県,https://www.police.pref.kochi.lg.jp/docs/2023111400109/,ページURL（個別CSV未確認）,調査中
福岡県,https://data.bodik.jp/dataset/c86326fe-655b-4eb0-a0fe-e29f163f31aa/resource/3357a675-7deb-4955-9840-13a57d4b7c9d/download/fukuoka_2024zitensyatou.csv,BODIKポータル,実装済
佐賀県,https://data.bodik.jp/dataset/410004_hanzaijyouhou,BODIKポータル（個別URL未確認）,BODIK
長崎県,https://www.police.pref.nagasaki.jp/police/wp-content/uploads/2025/06/nagasaki_2024zitensyatou.csv,標準形式,URL確認済
熊本県,https://odcs.bodik.jp/430005/,BODIKポータル（個別URL未確認）,BODIK
大分県,http://www.pref.oita.jp/site/keisatu/seianki-toukei123.html,ページURL（個別CSV未確認）,調査中
宮崎県,https://data.bodik.jp/dataset/450006_1069,BODIKポータル（個別URL未確認）,BODIK
鹿児島県,https://data.bodik.jp/dataset/460001_hanzaihassei_2024,BODIKポータル（個別URL未確認）,BODIK
沖縄県,https://www.police.pref.okinawa.jp/docs/2025062400016/file_contents/R7_07_okinawa_2024zitensyatou.csv,番号プレフィックスあり（R7_01_〜R7_07_）,URL確認済
